date;sku;error
2023-01-26 17:14:25;22SKV031;notFound
2023-01-26 17:14:31;170408H800;notFound
2023-01-26 17:25:26;S5132008-S;notFound
2023-01-26 17:25:26;S5132016-S;notFound
2023-01-26 17:25:34;016-21101727;notFound
2023-01-26 17:27:53;016-20370927;notFound

2023-01-30 09:44:50;22SKV031;notFound
2023-01-30 09:44:50;170408H800;notFound
2023-01-30 09:49:43;S5132008-S;notFound
2023-01-30 09:49:43;S5132016-S;notFound
2023-01-30 09:49:50;016-21101727;notFound
2023-01-30 09:52:13;016-20370927;notFound
2023-01-30 10:04:57;22SKV031;notFound
2023-01-30 10:04:57;170408H800;notFound
2023-01-30 10:05:11;S5132008-S;notFound
2023-01-30 10:05:11;S5132016-S;notFound
2023-01-30 10:05:11;016-21101727;notFound
2023-01-30 10:05:11;016-20370927;notFound
2023-01-31 10:37:53;22SKV031;notFound
2023-01-31 10:37:56;170408H800;notFound
2023-01-31 10:42:39;S5132008-S;notFound
2023-01-31 10:42:39;S5132016-S;notFound
2023-01-31 10:42:39;016-21101727;notFound
2023-01-31 10:44:08;016-20370927;notFound
2023-02-02 15:39:25;22SKV031;notFound
2023-02-02 15:39:27;170408H800;notFound
2023-02-02 15:44:05;S5132008-S;notFound
2023-02-02 15:44:05;S5132016-S;notFound
2023-02-02 15:44:05;016-21101727;notFound
2023-02-02 15:45:33;016-20370927;notFound
2023-02-07 10:25:04;22SKV031;notFound
2023-02-07 10:25:08;170408H800;notFound
2023-02-07 10:31:23;S5132008-S;notFound
2023-02-07 10:31:23;S5132016-S;notFound
2023-02-07 10:31:30;016-21101727;notFound
2023-02-07 10:33:29;016-20370927;notFound
2023-02-07 10:46:00;BKS-RE-002;notFound
2023-02-07 10:47:36;RM4014EW;notFound
2023-02-07 11:47:19;22SKV031;notFound
2023-02-07 11:51:24;22SKV031;notFound
2023-02-07 11:52:31;22SKV031;notFound
2023-02-07 14:59:33;22SKV031;notFound
2023-02-07 15:05:15;22SKV031;notFound
2023-02-09 10:33:20;22SKV031;notFound
2023-02-09 10:33:21;170408H800;notFound
2023-02-09 10:33:21;S5132008-S;notFound
2023-02-09 10:33:21;S5132016-S;notFound
2023-02-09 10:33:21;016-21101727;notFound
2023-02-09 10:33:21;016-20370927;notFound
2023-02-09 10:33:22;BKS-RE-002;notFound
2023-02-09 10:33:22;RM4014EW;notFound
2023-02-10 10:54:46;22SKV031;notFound
2023-02-10 10:54:46;170408H800;notFound
2023-02-10 10:54:46;S5132008-S;notFound
2023-02-10 10:54:46;S5132016-S;notFound
2023-02-10 10:54:46;016-21101727;notFound
2023-02-10 10:54:46;016-20370927;notFound
2023-02-10 10:54:47;BKS-RE-002;notFound
